customerID;gender;Country;State;City;ZipCode;LatLong;SeniorCitizen;Partner;Dependents;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Churn;ChurnReason
0060-FUALY;Female;United States;California;Los Angeles;90003;33.964131, -118.272783;0;Yes;No;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;No;
0064-SUDOG;Female;United States;California;Huntington Park;90255;33.97803, -118.217141;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);No;
0064-YIJGF;Male;United States;California;Yermo;92398;35.013299, -116.834092;0;Yes;Yes;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);No;
0067-DKWBL;Male;United States;California;Tipton;93272;36.047414, -119.344304;1;No;No;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;Yes;Competitor had better devices
0068-FIGTF;Female;United States;California;Fremont;94539;37.516791, -121.899117;0;No;No;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Mailed check;No;
0071-NDAFP;Male;United States;California;Santa Rosa;95405;38.439696, -122.668817;0;Yes;Yes;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);No;
0074-HDKDG;Male;United States;California;San Jose;95126;37.327069, -121.916819;0;Yes;Yes;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);No;
0076-LVEPS;Male;United States;California;Tujunga;91042;34.296574, -118.244839;0;No;Yes;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;No;
0078-XZMHT;Male;United States;California;Visalia;93291;36.391777, -119.372842;0;Yes;No;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);No;
0080-EMYVY;Female;United States;California;Lodi;95240;38.123544, -121.159078;0;No;No;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);No;
0080-OROZO;Female;United States;California;El Portal;95318;37.654551, -119.822984;0;No;No;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;No;
0082-LDZUE;Male;United States;California;Calistoga;94515;38.629618, -122.593216;0;No;No;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;No;
0082-OQIQY;Male;United States;California;Farmington;95230;37.956963, -120.863055;0;No;No;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0083-PIVIK;Male;United States;California;Tulelake;96134;41.813521, -121.492666;0;No;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;One year;No;Electronic check;No;
0089-IIQKO;Female;United States;California;Coleville;96107;38.42528, -119.475741;0;Yes;Yes;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);No;
0093-EXYQL;Female;United States;California;Ojai;93023;34.581308, -118.931948;1;No;No;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0093-XWZFY;Male;United States;California;Desert Hot Springs;92241;33.832799, -116.250973;0;No;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);Yes;Competitor had better devices
0094-OIFMO;Female;United States;California;North Hollywood;91605;34.207295, -118.400022;1;No;No;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;Yes;Product dissatisfaction
0096-BXERS;Female;United States;California;Inverness;94937;38.099323, -122.945723;0;Yes;No;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;No;
0096-FCPUF;Male;United States;California;Santa Rosa;95404;38.526941, -122.709096;0;No;No;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;No;
0098-BOWSO;Male;United States;California;San Jose;95131;37.387027, -121.897775;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;No;
0100-DUVFC;Male;United States;California;Wilmington;90744;33.782068, -118.262263;1;Yes;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;No;
0103-CSITQ;Female;United States;California;Modesto;95357;37.670526, -120.877572;0;Yes;No;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);No;
0104-PPXDV;Male;United States;California;San Diego;92113;32.697098, -117.116587;0;Yes;No;Yes;No;DSL;No;No;Yes;No;No;No;One year;No;Credit card (automatic);No;
0106-GHRQR;Male;United States;California;Rancho Palos Verdes;90275;33.753146, -118.367459;0;No;No;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);No;
0106-UGRDO;Female;United States;California;Kenwood;95452;38.419525, -122.521585;0;Yes;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;No;
0107-WESLM;Male;United States;California;West Point;95255;38.41935, -120.469545;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;Yes;Attitude of support person
0107-YHINA;Male;United States;California;Los Angeles;90062;34.003553, -118.308933;0;No;Yes;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;Yes;Attitude of support person
0111-KLBQG;Male;United States;California;Morongo Valley;92256;34.097863, -116.594561;1;Yes;Yes;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;No;
0112-QAWRZ;Male;United States;California;Palo Verde;92266;33.3249, -114.758334;0;Yes;Yes;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);No;
0112-QWPNC;Male;United States;California;Valyermo;93563;34.39583, -117.734568;0;Yes;No;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;Yes;Competitor offered higher download speeds
0114-IGABW;Female;United States;California;Cambria;93428;35.591387, -121.032256;0;Yes;No;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);No;
0114-PEGZZ;Female;United States;California;Round Mountain;96084;40.923558, -122.059933;0;No;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;No;
0114-RSRRW;Female;United States;California;Klamath;95548;41.572813, -124.035011;0;Yes;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);No;
0115-TFERT;Male;United States;California;Fresno;93650;36.841655, -119.797113;0;Yes;No;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;Yes;Attitude of service provider
0117-LFRMW;Male;United States;California;Angwin;94508;38.542448, -122.419923;0;Yes;Yes;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);Yes;Competitor offered more data
0118-JPNOY;Female;United States;California;Le Grand;95333;37.249377, -120.249581;1;No;No;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);No;
0121-SNYRK;Male;United States;California;Redway;95560;40.142256, -123.852927;0;No;No;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;Yes;Mailed check;No;
0122-OAHPZ;Female;United States;California;Oceanside;92057;33.254497, -117.285879;0;No;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;Yes;Price too high
0123-CRBRT;Female;United States;California;Monterey Park;91755;34.049172, -118.115022;0;Yes;Yes;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;No;
0125-LZQXK;Male;United States;California;Big Oak Flat;95305;37.818589, -120.256995;0;No;No;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;Yes;Attitude of service provider
0128-MKWSG;Female;United States;California;Stevenson Ranch;91381;34.364153, -118.615583;0;No;Yes;No;No phone service;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;No;
0129-KPTWJ;Male;United States;California;North Highlands;95660;38.671295, -121.388251;0;Yes;No;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0129-QMPDR;Male;United States;California;La Puente;91746;34.038983, -117.991372;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);No;
0130-SXOUN;Male;United States;California;Glenhaven;95443;39.045246, -122.743181;0;No;No;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Credit card (automatic);No;
0133-BMFZO;Female;United States;California;Alhambra;91803;34.074736, -118.145959;0;No;No;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;Yes;Competitor offered higher download speeds
0134-XWXCE;Female;United States;California;Santa Monica;90403;34.031529, -118.491156;1;No;No;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);No;
0135-NMXAP;Female;United States;California;Lodi;95240;38.123544, -121.159078;0;No;No;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);Yes;Attitude of support person
0136-IFMYD;Male;United States;California;Los Angeles;90001;33.973616, -118.24902;1;Yes;No;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;No;
0137-OCGAB;Female;United States;California;Fairfield;94533;38.287136, -122.02711;0;No;No;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;Yes;Lack of affordable download/upload speed
0137-UDEUO;Female;United States;California;Stockton;95204;37.974498, -121.319568;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;Yes;Extra data charges
0139-IVFJG;Female;United States;California;Inyokern;93527;36.041315, -118.188235;0;Yes;No;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;No;
0141-YEAYS;Female;United States;California;Lone Pine;93545;36.590415, -118.073839;1;No;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);No;
0142-GVYSN;Male;United States;California;Randsburg;93554;35.405722, -117.773354;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;No;
0147-ESWWR;Female;United States;California;Atascadero;93422;35.453912, -120.69461;1;Yes;No;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0148-DCDOS;Male;United States;California;Planada;95365;37.329725, -120.306399;0;No;No;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);Yes;Price too high
0151-ONTOV;Female;United States;California;Moorpark;93021;34.312945, -118.858169;0;No;No;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;Yes;Attitude of support person
0156-FVPTA;Male;United States;California;Solvang;93463;34.624399, -120.137875;0;Yes;No;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;Yes;Attitude of service provider
0164-APGRB;Female;United States;California;Calistoga;94515;38.629618, -122.593216;0;No;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;No;
0164-XAIRP;Female;United States;California;La Mirada;90638;33.902045, -118.008961;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);No;
0168-XZKBB;Female;United States;California;Boron;93516;34.95703, -117.73045;0;Yes;No;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;No;
0174-QRVVY;Male;United States;California;San Marcos;92078;33.119028, -117.166036;0;Yes;Yes;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);No;
0177-PXBAT;Male;United States;California;Desert Center;92239;33.889605, -115.257009;1;Yes;No;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);No;
0178-CIIKR;Female;United States;California;Crows Landing;95313;37.435664, -121.049056;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;No;
0178-SZBHO;Male;United States;California;Tuolumne;95379;37.939768, -120.188002;0;Yes;Yes;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;No;
0181-RITDD;Male;United States;California;San Diego;92120;32.807867, -117.060993;0;Yes;Yes;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;No;
0186-CAERR;Male;United States;California;Auburn;95603;38.912881, -121.082766;0;No;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);No;
0187-QSXOE;Male;United States;California;Fresno;93725;36.623632, -119.741322;1;Yes;No;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0187-WZNAB;Female;United States;California;Del Rey;93616;36.657462, -119.595293;0;Yes;Yes;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;No;
0188-GWFLE;Male;United States;California;Redwood City;94065;37.527497, -122.230941;0;No;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;No;
0191-EQUUH;Female;United States;California;Landers;92285;34.341737, -116.539416;0;No;Yes;No;No phone service;DSL;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);No;
0191-ZHSKZ;Male;United States;California;Hawthorne;90250;33.914775, -118.348083;1;No;No;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0193-ESZXP;Female;United States;California;Oceano;93445;35.059695, -120.604741;1;Yes;No;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);Yes;Attitude of support person
0195-IESCP;Male;United States;California;Armona;93202;36.315979, -119.710852;0;Yes;No;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;Yes;Competitor offered more data
0196-JTUQI;Female;United States;California;Clarksburg;95612;38.384648, -121.578701;0;No;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);No;
0196-VULGZ;Female;United States;California;Irvine;92620;33.716136, -117.752574;1;Yes;No;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;Yes;Deceased
0197-PNKNK;Female;United States;California;Scotts Valley;95066;37.070177, -122.010077;0;Yes;Yes;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;No;Bank transfer (automatic);No;
0201-MIBOL;Female;United States;California;Salida;95368;37.713152, -121.08739;1;No;No;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);No;
0201-OAMXR;Female;United States;California;Mckinleyville;95519;40.965011, -124.015255;0;No;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);Yes;Network reliability
0203-HHYIJ;Male;United States;California;Atherton;94027;37.454924, -122.203168;0;No;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);Yes;Lack of affordable download/upload speed
0206-OYVOC;Female;United States;California;Huntington Beach;92649;33.721917, -118.043237;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;No;
0206-TBWLC;Female;United States;California;Calimesa;92320;33.982787, -117.057627;0;Yes;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;No;
0207-MDKNV;Female;United States;California;Daly City;94014;37.691561, -122.445202;0;No;No;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;Yes;Competitor made better offer
0208-BPQEJ;Female;United States;California;Middletown;95461;38.787446, -122.58675;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);No;
0212-ISBBF;Female;United States;California;Berkeley;94705;37.858898, -122.240512;0;No;No;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;No;
0214-JHPFW;Female;United States;California;Lost Hills;93249;35.637715, -119.893068;0;Yes;No;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);No;
0215-BQKGS;Male;United States;California;Garden Grove;92844;33.766476, -117.969795;0;No;No;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);No;
0218-QNVAS;Male;United States;California;Indio;92203;33.752938, -116.230055;0;Yes;Yes;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);No;
0219-QAERP;Male;United States;California;Oxnard;93033;34.156629, -119.117218;0;Yes;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);No;
0219-YTZUE;Male;United States;California;San Diego;92103;32.747484, -117.166877;0;Yes;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);Yes;Don't know
0220-EBGCE;Male;United States;California;Fort Jones;96032;41.5837, -122.935922;0;No;No;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;Yes;Competitor offered more data
0221-NAUXK;Male;United States;California;Moreno Valley;92553;33.923149, -117.244933;0;No;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);No;
0221-WMXNQ;Male;United States;California;Chino;91710;33.990646, -117.663025;1;No;No;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;No;
0222-CNVPT;Male;United States;California;Sacramento;95820;38.53508, -121.444144;1;No;No;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);No;
0224-HJAPT;Male;United States;California;San Diego;92104;32.741499, -117.127409;0;No;No;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;Yes;Competitor offered higher download speeds
0224-NIJLP;Male;United States;California;Turlock;95380;37.474396, -120.875917;0;Yes;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;No;
0224-RLWWD;Female;United States;California;Calexico;92231;32.690654, -115.431225;1;No;No;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;No;
0225-ZORZP;Male;United States;California;Groveland;95321;37.902968, -119.667544;0;No;No;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;No;
0228-MAUWC;Male;United States;California;Los Gatos;95033;37.160194, -121.945611;0;No;No;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;No;
0229-LFJAF;Male;United States;California;Clovis;93611;36.917652, -119.593757;0;No;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);No;
0230-UBYPQ;Male;United States;California;Hyampom;96046;40.648024, -123.465088;1;Yes;No;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);No;
